Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism,Top 31 Organism,Top 32 Organism,Top 33 Organism,Top 34 Organism,Top 35 Organism,Top 36 Organism,Top 37 Organism,Top 38 Organism,Top 39 Organism,Top 40 Organism,Top 41 Organism,Top 42 Organism,Top 43 Organism,Top 44 Organism,Top 45 Organism,Top 46 Organism,Top 47 Organism,Top 48 Organism,Top 49 Organism,Top 50 Organism,Top 51 Organism,Top 52 Organism,Top 53 Organism,Top 54 Organism,Top 55 Organism,Top 56 Organism,Top 57 Organism,Top 58 Organism,Top 59 Organism,Top 60 Organism,Top 61 Organism,Top 62 Organism,Top 63 Organism,Top 64 Organism,Top 65 Organism,Top 66 Organism,Top 67 Organism,Top 68 Organism,Top 69 Organism,Top 70 Organism,Top 71 Organism,Top 72 Organism,Top 73 Organism,Top 74 Organism,Top 75 Organism,Top 76 Organism,Top 77 Organism,Top 78 Organism,Top 79 Organism,Top 80 Organism,Top 81 Organism,Top 82 Organism,Top 83 Organism,Top 84 Organism,Top 85 Organism,Top 86 Organism,Top 87 Organism,Top 88 Organism,Top 89 Organism,Top 90 Organism,Top 91 Organism,Top 92 Organism,Top 93 Organism,Top 94 Organism,Top 95 Organism,Top 96 Organism,Top 97 Organism,Top 98 Organism,Top 99 Organism,Top 100 Organism
Sensitivity:Peanut Sensitivity,health_concerns,[216572] Oscillospiraceae (229.10833081599353) (abundance=0) (cdf=0),[841] Roseburia (229.10833081599353) (abundance=0) (cdf=0),[171549] Bacteroidales (-229.10833081599353) (abundance=0) (cdf=0),[1239] Bacillota (229.10833081599353) (abundance=0) (cdf=0),[28211] Alphaproteobacteria (229.10833081599353) (abundance=0) (cdf=0),[816] Bacteroides (-229.10833081599353) (abundance=0) (cdf=0),[1117] Cyanobacteriota (229.10833081599353) (abundance=0) (cdf=0),[186802] Eubacteriales (229.10833081599353) (abundance=0) (cdf=0),[1685] Bifidobacterium breve (-2.4220376425205408) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-2.4220376425205408) (abundance=0) (cdf=0),[239935] Akkermansia muciniphila (-2.4220376425205408) (abundance=0) (cdf=0),[28026] Bifidobacterium pseudocatenulatum (2.4220376425205408) (abundance=0) (cdf=0),[1680] Bifidobacterium adolescentis (-2.4220376425205408) (abundance=0) (cdf=0),[562] Escherichia coli (2.4220376425205408) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensitivity:Shellfish Allergy,health_concerns,[28211] Alphaproteobacteria (1.0) (abundance=0) (cdf=0),[816] Bacteroides (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute-On-Chronic Liver Failure,health_concerns,[1350] Enterococcus (16.778930319665164) (abundance=0) (cdf=0),[570] Klebsiella (8.870124916949031) (abundance=0) (cdf=0),[29465] Veillonella (8.870124916949031) (abundance=0) (cdf=0),[81852] Enterococcaceae (6.620254959078565) (abundance=0) (cdf=0),[91061] Bacilli (6.620254959078565) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-6.620254959078565) (abundance=0) (cdf=0),[200643] Bacteroidia (-6.580351713967388) (abundance=0) (cdf=0),[213849] Campylobacterales (5.58732551212436) (abundance=0) (cdf=0),[841] Roseburia (-4.455014081030104) (abundance=0) (cdf=0),[2678885] Faecalibacillus (-4.455014081030104) (abundance=0) (cdf=0),[573] Klebsiella pneumoniae (4.455014081030104) (abundance=0) (cdf=0),[1578] Lactobacillus (4.455014081030104) (abundance=0) (cdf=0),[2646395] unclassified Faecalibacterium (-4.455014081030104) (abundance=0) (cdf=0),[1228827] Influenza A virus (4.455014081030104) (abundance=0) (cdf=0),[33958] Lactobacillaceae (4.455014081030104) (abundance=0) (cdf=0),[1351] Enterococcus faecalis (4.455014081030104) (abundance=0) (cdf=0),[526525] Erysipelotrichales (4.455014081030104) (abundance=0) (cdf=0),[186826] Lactobacillales (4.455014081030104) (abundance=0) (cdf=0),[526524] Erysipelotrichia (4.455014081030104) (abundance=0) (cdf=0),[2630086] unclassified Veillonella (4.455014081030104) (abundance=0) (cdf=0),[2637578] unclassified Roseburia (-4.455014081030104) (abundance=0) (cdf=0),[1301] Streptococcus (4.415110835918927) (abundance=0) (cdf=0),[2652281] unclassified Peptostreptococcus (4.327995504251113) (abundance=0) (cdf=0),[1352] Enterococcus faecium (3.5808098984650214) (abundance=0) (cdf=0),[47714] Lacticaseibacillus paracasei subsp. paracasei (3.5808098984650214) (abundance=0) (cdf=0),[32033] Lysobacteraceae (-3.1102865989083353) (abundance=0) (cdf=0),[65551] Meiothermus (-3.1102865989083353) (abundance=0) (cdf=0),[1297] Deinococcota (-3.1102865989083353) (abundance=0) (cdf=0),[469] Acinetobacter (3.1102865989083353) (abundance=0) (cdf=0),[135614] Lysobacterales (-3.1102865989083353) (abundance=0) (cdf=0),[283] Comamonas (3.1102865989083353) (abundance=0) (cdf=0),[201174] Actinomycetota (-3.1102865989083353) (abundance=0) (cdf=0),[119060] Burkholderiaceae (3.1102865989083353) (abundance=0) (cdf=0),[265570] Sulfurovum (3.1102865989083353) (abundance=0) (cdf=0),[28211] Alphaproteobacteria (-3.1102865989083353) (abundance=0) (cdf=0),[468] Moraxellaceae (3.1102865989083353) (abundance=0) (cdf=0),[72294] Campylobacteraceae (2.477038913216025) (abundance=0) (cdf=0),[246874] Cryomorphaceae (2.477038913216025) (abundance=0) (cdf=0),[119069] Hydrogenophilales (2.477038913216025) (abundance=0) (cdf=0),[85023] Microbacteriaceae (2.477038913216025) (abundance=0) (cdf=0),[3031852] Epsilonproteobacteria (2.477038913216025) (abundance=0) (cdf=0),[2070] Pseudonocardiaceae (2.477038913216025) (abundance=0) (cdf=0),[89373] Cytophagaceae (2.477038913216025) (abundance=0) (cdf=0),[768507] Cytophagales (2.477038913216025) (abundance=0) (cdf=0),[768503] Cytophagia (2.477038913216025) (abundance=0) (cdf=0),[85017] Promicromonosporaceae (2.477038913216025) (abundance=0) (cdf=0),[206349] Hydrogenophilaceae (2.477038913216025) (abundance=0) (cdf=0),[1224] Pseudomonadota (2.165240878048461) (abundance=0) (cdf=0),[1300] Streptococcaceae (2.165240878048461) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-2.165240878048461) (abundance=0) (cdf=0),[171551] Porphyromonadaceae (-2.165240878048461) (abundance=0) (cdf=0),[1239] Bacillota (2.165240878048461) (abundance=0) (cdf=0),[1236] Gammaproteobacteria (2.165240878048461) (abundance=0) (cdf=0),[815] Bacteroidaceae (-2.165240878048461) (abundance=0) (cdf=0),[712] Pasteurellaceae (2.165240878048461) (abundance=0) (cdf=0),[31977] Veillonellaceae (2.165240878048461) (abundance=0) (cdf=0),[216851] Faecalibacterium (1.3590348032473085) (abundance=0) (cdf=0),[91347] Enterobacterales (1.3447274821217687) (abundance=0) (cdf=0),[543] Enterobacteriaceae (1.3447274821217687) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Distress,health_concerns,[1224] Pseudomonadota (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condition:Diabetic Retinopathy,health_concerns,[990719] Christensenellaceae (-15.311663740227704) (abundance=0) (cdf=0),[186807] Peptococcaceae (-14.04932983207932) (abundance=0) (cdf=0),[447020] Adlercreutzia (14.04932983207932) (abundance=0) (cdf=0),[39491] Agathobacter rectalis (14.04932983207932) (abundance=0) (cdf=0),[64649] Backusella (-3.0509347309304506) (abundance=0) (cdf=0),[1913637] Mucoromycota (-3.0509347309304506) (abundance=0) (cdf=0),[1891946] Vishniacozyma (-3.0509347309304506) (abundance=0) (cdf=0),[5052] Aspergillus (-3.0509347309304506) (abundance=0) (cdf=0),[78156] Pseudogymnoascus (-3.0509347309304506) (abundance=0) (cdf=0),[147882] Gliocladiopsis (-3.0509347309304506) (abundance=0) (cdf=0),[4930] Saccharomyces (-3.0509347309304506) (abundance=0) (cdf=0),[223374] Cladorrhinum (-3.0509347309304506) (abundance=0) (cdf=0),[137494] Cylindrocladiella (-3.0509347309304506) (abundance=0) (cdf=0),[145966] Volutella (-3.0509347309304506) (abundance=0) (cdf=0),[55170] Didymella (-3.0509347309304506) (abundance=0) (cdf=0),[4842] Rhizopus (-3.0509347309304506) (abundance=0) (cdf=0),[4919] Pichia (-3.0509347309304506) (abundance=0) (cdf=0),[41254] Mycosphaerella (-3.0509347309304506) (abundance=0) (cdf=0),[1026880] Oliveonia (-3.0509347309304506) (abundance=0) (cdf=0),[59585] Corynespora (-3.0509347309304506) (abundance=0) (cdf=0),[599737] Wickerhamomyces (-3.0509347309304506) (abundance=0) (cdf=0),[1910789] Diutina (-3.0509347309304506) (abundance=0) (cdf=0),[71245] Kazachstania (-3.0509347309304506) (abundance=0) (cdf=0),[102106] Collinsella (-2.2626603672418377) (abundance=0) (cdf=0),[189330] Dorea (-2.2626603672418377) (abundance=0) (cdf=0),[674529] Bacteroides faecis (-2.156432448465735) (abundance=0) (cdf=0),[1304] Streptococcus salivarius (-2.156432448465735) (abundance=0) (cdf=0),[469610] Burkholderiales bacterium 1_1_47 (-2.156432448465735) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (-2.156432448465735) (abundance=0) (cdf=0),[80841] unclassified Burkholderiales (-2.156432448465735) (abundance=0) (cdf=0),[201174] Actinomycetota (-1.9181026517163595) (abundance=0) (cdf=0),[200643] Bacteroidia (1.9181026517163595) (abundance=0) (cdf=0),[216851] Faecalibacterium (-1.8058041306127421) (abundance=0) (cdf=0),[712] Pasteurellaceae (-1.415267851195855) (abundance=0) (cdf=0),[1485] Clostridium (-1.415267851195855) (abundance=0) (cdf=0),[28216] Betaproteobacteria (1.262333908148385) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (-1.262333908148385) (abundance=0) (cdf=0),[1301] Streptococcus (-1.262333908148385) (abundance=0) (cdf=0),[31979] Clostridiaceae (-1.262333908148385) (abundance=0) (cdf=0),[186802] Eubacteriales (-1.262333908148385) (abundance=0) (cdf=0),[31977] Veillonellaceae (-1.262333908148385) (abundance=0) (cdf=0),[1766253] Agathobacter (-1.262333908148385) (abundance=0) (cdf=0),[1300] Streptococcaceae (-1.262333908148385) (abundance=0) (cdf=0),[909932] Negativicutes (-1.262333908148385) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-1.262333908148385) (abundance=0) (cdf=0),[909929] Selenomonadales (-1.262333908148385) (abundance=0) (cdf=0),[1239] Bacillota (-1.262333908148385) (abundance=0) (cdf=0),[290054] Eubacterium coprostanoligenes (-1.262333908148385) (abundance=0) (cdf=0),[581] Morganella (1.262333908148385) (abundance=0) (cdf=0),[119060] Burkholderiaceae (-1.262333908148385) (abundance=0) (cdf=0),[171550] Rikenellaceae (-1.262333908148385) (abundance=0) (cdf=0),[84998] Coriobacteriia (-1.262333908148385) (abundance=0) (cdf=0),[572511] Blautia (-1.0003264590934524) (abundance=0) (cdf=0),[816] Bacteroides (1.0003264590934524) (abundance=0) (cdf=0),[158846] Megamonas (1.0003264590934524) (abundance=0) (cdf=0),[207244] Anaerostipes (-1.0003264590934524) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (1.0003264590934524) (abundance=0) (cdf=0),[1407607] Fusicatenibacter (-1.0003264590934524) (abundance=0) (cdf=0),[239759] Alistipes (1.0003264590934524) (abundance=0) (cdf=0),[239934] Akkermansia (-0.8717976287314979) (abundance=0) (cdf=0),[1678] Bifidobacterium (-0.5028348005205044) (abundance=0) (cdf=0),[1578] Lactobacillus (-0.5028348005205044) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-0.39053627941688723) (abundance=0) (cdf=0),[841] Roseburia (-0.39053627941688723) (abundance=0) (cdf=0),[1501226] Romboutsia (-0.12852883036195453) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Pain,health_concerns,[1506553] Lachnoclostridium (14.331793870842635) (abundance=0) (cdf=0),[1720294] Eisenbergiella massiliensis (14.331793870842635) (abundance=0) (cdf=0),[816] Bacteroides (14.331793870842635) (abundance=0) (cdf=0),[216572] Oscillospiraceae (14.331793870842635) (abundance=0) (cdf=0),[1485] Clostridium (14.331793870842635) (abundance=0) (cdf=0),[171549] Bacteroidales (3.097034465337237) (abundance=0) (cdf=0),[200643] Bacteroidia (3.097034465337237) (abundance=0) (cdf=0),[1263] Ruminococcus (2.897181922835399) (abundance=0) (cdf=0),[375288] Parabacteroides (-2.158162635245321) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Acetyl-D-Glucosamine Digestion,health_concerns,[1870985] Arabiibacter massiliensis (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibromyalgia,health_concerns,[186803] Lachnospiraceae (-35.79367402821956) (abundance=0) (cdf=0),[1547] Thomasclavelia ramosa (31.460951633529497) (abundance=0) (cdf=0),[154046] Hungatella hathewayi (31.460951633529497) (abundance=0) (cdf=0),[292800] Flavonifractor plautii (31.460951633529497) (abundance=0) (cdf=0),[1432052] Eisenbergiella tayi (31.460951633529497) (abundance=0) (cdf=0),[53443] Blautia hydrogenotrophica (31.460951633529497) (abundance=0) (cdf=0),[820] Bacteroides uniformis (-31.460951633529497) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (31.460951633529497) (abundance=0) (cdf=0),[375288] Parabacteroides (31.460951633529497) (abundance=0) (cdf=0),[35829] Acetivibrio (31.460951633529497) (abundance=0) (cdf=0),[572511] Blautia (31.460951633529497) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-31.460951633529497) (abundance=0) (cdf=0),[729] Haemophilus parainfluenzae (-31.460951633529497) (abundance=0) (cdf=0),[165179] Segatella copri (-31.460951633529497) (abundance=0) (cdf=0),[3062492] Blautia massiliensis (31.460951633529497) (abundance=0) (cdf=0),[1720294] Eisenbergiella massiliensis (31.460951633529497) (abundance=0) (cdf=0),[724] Haemophilus (-31.460951633529497) (abundance=0) (cdf=0),[46503] Parabacteroides merdae (31.460951633529497) (abundance=0) (cdf=0),[216851] Faecalibacterium (-31.460951633529497) (abundance=0) (cdf=0),[871665] Blautia faecis (-31.460951633529497) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (31.460951633529497) (abundance=0) (cdf=0),[186802] Eubacteriales (31.460951633529497) (abundance=0) (cdf=0),[29347] [Clostridium] scindens (31.460951633529497) (abundance=0) (cdf=0),[239759] Alistipes (31.460951633529497) (abundance=0) (cdf=0),[1550024] Ruthenibacterium lactatiformans (31.460951633529497) (abundance=0) (cdf=0),[39484] Agathobaculum desmolans (31.460951633529497) (abundance=0) (cdf=0),[216572] Oscillospiraceae (31.460951633529497) (abundance=0) (cdf=0),[1297617] Intestinimonas butyriciproducens (31.460951633529497) (abundance=0) (cdf=0),[816] Bacteroides (31.460951633529497) (abundance=0) (cdf=0),[328813] Alistipes onderdonkii (31.460951633529497) (abundance=0) (cdf=0),[1485] Clostridium (27.12822923883943) (abundance=0) (cdf=0),[1239] Bacillota (26.246054793023333) (abundance=0) (cdf=0),[100175] Papillibacter (4.332722394690066) (abundance=0) (cdf=0),[841] Roseburia (4.332722394690066) (abundance=0) (cdf=0),[189330] Dorea (4.332722394690066) (abundance=0) (cdf=0),[292632] Subdoligranulum (4.332722394690066) (abundance=0) (cdf=0),[1730] Eubacterium (-4.332722394690066) (abundance=0) (cdf=0),[1678] Bifidobacterium (-3.450547948873971) (abundance=0) (cdf=0),[84111] Eggerthella (1.047098767946159) (abundance=0) (cdf=0),[1578] Lactobacillus (1.047098767946159) (abundance=0) (cdf=0),[133925] Olsenella (-1.047098767946159) (abundance=0) (cdf=0),[200643] Bacteroidia (0.8821744458160947) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecia Areata,health_concerns,[186803] Lachnospiraceae (10.236529067340154) (abundance=0) (cdf=0),[572511] Blautia (7.587583100687277) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (-7.405705046441888) (abundance=0) (cdf=0),[397864] Barnesiella (7.405705046441888) (abundance=0) (cdf=0),[28050] Lachnospira (-7.405705046441888) (abundance=0) (cdf=0),[216572] Oscillospiraceae (7.405705046441888) (abundance=0) (cdf=0),[1508657] Ruminiclostridium (7.405705046441888) (abundance=0) (cdf=0),[3025755] Thomasclavelia (7.405705046441888) (abundance=0) (cdf=0),[2975519] Candidatus Izemoplasmatales (7.405705046441888) (abundance=0) (cdf=0),[1263] Ruminococcus (-7.405705046441888) (abundance=0) (cdf=0),[1506577] Tyzzerella (7.405705046441888) (abundance=0) (cdf=0),[31969] Mollicutes (-7.405705046441888) (abundance=0) (cdf=0),[239759] Alistipes (7.405705046441888) (abundance=0) (cdf=0),[1239] Bacillota (5.721647664652859) (abundance=0) (cdf=0),[816] Bacteroides (5.420830243841467) (abundance=0) (cdf=0),[3085636] Lachnospirales (4.2705121579348475) (abundance=0) (cdf=0),[33042] Coprococcus (-4.2705121579348475) (abundance=0) (cdf=0),[128827] Erysipelotrichaceae (4.163020161050274) (abundance=0) (cdf=0),[28111] Bacteroides eggerthii (2.8308240208982665) (abundance=0) (cdf=0),[823] Parabacteroides distasonis (2.8308240208982665) (abundance=0) (cdf=0),[387661] Parabacteroides johnsonii (2.8308240208982665) (abundance=0) (cdf=0),[61171] Holdemania filiformis (2.8308240208982665) (abundance=0) (cdf=0),[580024] Enterorhabdus (-2.776015673667858) (abundance=0) (cdf=0),[574697] Butyricimonas (-2.776015673667858) (abundance=0) (cdf=0),[33024] Phascolarctobacterium (-2.776015673667858) (abundance=0) (cdf=0),[1224] Pseudomonadota (1.4511355067180116) (abundance=0) (cdf=0),[203490] Fusobacteriia (-1.332196140152008) (abundance=0) (cdf=0),[201174] Actinomycetota (1.332196140152008) (abundance=0) (cdf=0),[286] Pseudomonas (1.332196140152008) (abundance=0) (cdf=0),[906] Megasphaera (1.332196140152008) (abundance=0) (cdf=0),[1228827] Influenza A virus (1.332196140152008) (abundance=0) (cdf=0),[13687] Sphingomonas (1.332196140152008) (abundance=0) (cdf=0),[222] Achromobacter (1.332196140152008) (abundance=0) (cdf=0),[200643] Bacteroidia (-1.332196140152008) (abundance=0) (cdf=0),[203491] Fusobacteriales (-1.332196140152008) (abundance=0) (cdf=0),[207244] Anaerostipes (1.332196140152008) (abundance=0) (cdf=0),[189330] Dorea (1.332196140152008) (abundance=0) (cdf=0),[95818] Candidatus Saccharibacteria (1.332196140152008) (abundance=0) (cdf=0),[102106] Collinsella (1.332196140152008) (abundance=0) (cdf=0),[28100] Phyllobacterium (1.332196140152008) (abundance=0) (cdf=0),[1160721] Ruminococcus bicirculans (-1.0001340200550355) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kidney Failure, Chronic",health_concerns,[186804] Peptostreptococcaceae (16.290398994350774) (abundance=0) (cdf=0),[403] Methylococcaceae (16.290398994350774) (abundance=0) (cdf=0),[543] Enterobacteriaceae (16.290398994350774) (abundance=0) (cdf=0),[468] Moraxellaceae (16.290398994350774) (abundance=0) (cdf=0),[57494] Nesterenkonia (16.290398994350774) (abundance=0) (cdf=0),[28256] Halomonadaceae (16.290398994350774) (abundance=0) (cdf=0),[226] Alteromonas (16.290398994350774) (abundance=0) (cdf=0),[990721] Christensenella (16.290398994350774) (abundance=0) (cdf=0),[135621] Pseudomonadaceae (16.290398994350774) (abundance=0) (cdf=0),[135858] Catenibacterium (16.290398994350774) (abundance=0) (cdf=0),[1030] Thiothrix (16.290398994350774) (abundance=0) (cdf=0),[49] Polyangiaceae (16.290398994350774) (abundance=0) (cdf=0),[43668] Brachybacterium (16.290398994350774) (abundance=0) (cdf=0),[1432051] Eisenbergiella (5.075061139711166) (abundance=0) (cdf=0),[1301] Streptococcus (5.075061139711166) (abundance=0) (cdf=0),[2152] Asteroleplasma (-5.075061139711166) (abundance=0) (cdf=0),[28211] Alphaproteobacteria (5.075061139711166) (abundance=0) (cdf=0),[1236] Gammaproteobacteria (5.075061139711166) (abundance=0) (cdf=0),[561] Escherichia (5.075061139711166) (abundance=0) (cdf=0),[91061] Bacilli (5.075061139711166) (abundance=0) (cdf=0),[838] Prevotella (-5.075061139711166) (abundance=0) (cdf=0),[216572] Oscillospiraceae (5.075061139711166) (abundance=0) (cdf=0),[620] Shigella (5.075061139711166) (abundance=0) (cdf=0),[572511] Blautia (5.075061139711166) (abundance=0) (cdf=0),[168934] Thalassospira (5.075061139711166) (abundance=0) (cdf=0),[1573535] Holdemanella (-5.075061139711166) (abundance=0) (cdf=0),[33042] Coprococcus (-5.075061139711166) (abundance=0) (cdf=0),[526524] Erysipelotrichia (-5.075061139711166) (abundance=0) (cdf=0),[358743] Enterocloster citroniae (5.075061139711166) (abundance=0) (cdf=0),[1501226] Romboutsia (-5.075061139711166) (abundance=0) (cdf=0),[40520] Blautia obeum (5.075061139711166) (abundance=0) (cdf=0),[3031852] Epsilonproteobacteria (5.075061139711166) (abundance=0) (cdf=0),[547] Enterobacter (5.075061139711166) (abundance=0) (cdf=0),[335058] Roseateles (-5.075061139711166) (abundance=0) (cdf=0),[208479] Enterocloster bolteae (5.075061139711166) (abundance=0) (cdf=0),[577309] Paraprevotella (-5.075061139711166) (abundance=0) (cdf=0),[815] Bacteroidaceae (-3.25957826829539) (abundance=0) (cdf=0),[816] Bacteroides (-1.9974367456018722) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (-1.9974367456018722) (abundance=0) (cdf=0),[573] Klebsiella pneumoniae (1.5493400244901439) (abundance=0) (cdf=0),[562] Escherichia coli (1.262141522693518) (abundance=0) (cdf=0),[1578] Lactobacillus (-1.262141522693518) (abundance=0) (cdf=0),[1678] Bifidobacterium (-1.262141522693518) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adverse Childhood Experiences,health_concerns,[838] Prevotella (56.17118008990438) (abundance=0) (cdf=0),[207244] Anaerostipes (3.9848443168215955) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Coronary Syndrome,health_concerns,[1301] Streptococcus (15832.879966692857) (abundance=0) (cdf=0),[1766253] Agathobacter (-15830.843711184363) (abundance=0) (cdf=0),[469] Acinetobacter (15830.843711184363) (abundance=0) (cdf=0),[572511] Blautia (-15830.843711184363) (abundance=0) (cdf=0),[543] Enterobacteriaceae (2.0362555084941256) (abundance=0) (cdf=0),[841] Roseburia (-2.0362555084941256) (abundance=0) (cdf=0),[203490] Fusobacteriia (2.0362555084941256) (abundance=0) (cdf=0),[1224] Pseudomonadota (2.0362555084941256) (abundance=0) (cdf=0),[838] Prevotella (2.0362555084941256) (abundance=0) (cdf=0),[216851] Faecalibacterium (-2.0362555084941256) (abundance=0) (cdf=0),[1263] Ruminococcus (-2.0362555084941256) (abundance=0) (cdf=0),[31979] Clostridiaceae (-1.0008408114074245) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapikacchu Digestion,health_concerns,[31953] Bifidobacteriaceae (1.0) (abundance=0) (cdf=0),[815] Bacteroidaceae (1.0) (abundance=0) (cdf=0),[301302] Roseburia faecis (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Back Pain,health_concerns,[846] Oxalobacter (3222.692385567173) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (3217.2407732033457) (abundance=0) (cdf=0),[84998] Coriobacteriia (3217.2407732033457) (abundance=0) (cdf=0),[2040332] Dorea sp (3217.2407732033457) (abundance=0) (cdf=0),[84999] Coriobacteriales (3217.2407732033457) (abundance=0) (cdf=0),[133925] Olsenella (-3217.2407732033457) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
